,Unnamed: 0_level_0,ICU low care (frei),ICU low care (belegt),ICU low care in 24 h (Anzahl),ICU high care (frei),ICU high care (belegt),ICU high care in 24 h (Anzahl),ICU ECMO (frei),ICU ECMO (belegt),ICU ECMO care in 24 h (Anzahl),Anzahl ECMO-FÃ¤lle pro Jahr,COVID-19 aktuell in Behandlung,COVID-19 genesen,COVID-19 beatmet,COVID-19 verstorben,date
,Bundesland,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,
0,BB,95,101,159,151,225,235,7,1,7,65,17,2,11,0,2020-03-28 02:57:00
1,BE,88,129,93,235,347,167,19,3,19,216,61,6,44,4,2020-03-28 02:57:00
2,BW,234,275,272,441,621,435,41,11,37,463,247,42,185,19,2020-03-28 02:57:00
3,BY,224,259,266,459,703,422,58,6,40,688,199,28,152,17,2020-03-28 02:57:00
4,HB,49,13,42,27,21,27,4,0,4,20,5,0,1,0,2020-03-28 02:57:00
5,HE,120,153,133,289,219,253,27,2,15,435,55,22,40,3,2020-03-28 02:57:00
6,HH,94,58,91,138,185,143,20,5,21,358,44,15,38,3,2020-03-28 02:57:00
7,MV,72,55,85,123,114,132,12,1,12,142,3,0,0,0,2020-03-28 02:57:00
8,NI,165,123,185,299,259,257,28,3,18,323,69,11,38,1,2020-03-28 02:57:00
9,NRW,500,550,528,921,1298,808,62,21,58,1163,233,97,195,21,2020-03-28 02:57:00
10,RP,82,99,71,145,201,158,16,2,8,171,47,7,27,1,2020-03-28 02:57:00
11,SH,81,104,69,183,188,163,10,0,6,88,19,3,15,0,2020-03-28 02:57:00
12,SL,30,33,75,74,70,115,13,0,14,165,19,6,17,2,2020-03-28 02:57:00
13,SN,153,147,171,291,363,276,24,3,19,80,15,0,12,0,2020-03-28 02:57:00
14,ST,66,57,68,159,152,146,17,0,13,50,15,2,6,0,2020-03-28 02:57:00
16,TH,80,50,89,145,114,189,8,1,8,40,5,0,4,2,2020-03-28 02:57:00
