,Unnamed: 0_level_0,ICU low care (frei),ICU low care (belegt),ICU low care in 24 h (Anzahl),ICU high care (frei),ICU high care (belegt),ICU high care in 24 h (Anzahl),ICU ECMO (frei),ICU ECMO (belegt),ICU ECMO care in 24 h (Anzahl),Anzahl ECMO-FÃ¤lle pro Jahr,COVID-19 aktuell in Behandlung,COVID-19 genesen,COVID-19 beatmet,COVID-19 verstorben,date
,Bundesland,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,
0,BB,125,125,153,217,215,304,8,1,8,71,27,5,23,2,2020-04-03 02:57:00
1,BE,78,190,116,236,481,227,21,6,22,231,93,15,79,8,2020-04-03 02:57:00
2,BW,323,428,360,747,1111,588,57,17,36,619,479,98,427,88,2020-04-03 02:57:00
3,BY,453,522,485,806,1531,716,71,19,45,733,574,117,495,90,2020-04-03 02:57:00
4,HB,57,17,60,54,36,40,4,1,3,20,11,5,8,1,2020-04-03 02:57:00
5,HE,147,222,163,354,546,316,26,13,16,450,133,37,106,7,2020-04-03 02:57:00
6,HH,106,105,95,162,230,159,17,7,18,362,65,19,50,7,2020-04-03 02:57:00
7,MV,71,78,90,160,134,147,13,0,12,142,6,1,5,1,2020-04-03 02:57:00
8,NI,225,155,209,374,330,298,30,4,17,323,88,19,64,10,2020-04-03 02:57:00
9,NRW,683,820,735,1211,1884,1099,84,28,75,1264,420,238,348,73,2020-04-03 02:57:00
10,RP,115,114,99,164,245,196,14,5,3,171,75,14,59,2,2020-04-03 02:57:00
11,SH,111,90,85,309,352,260,11,2,8,128,43,5,37,3,2020-04-03 02:57:00
12,SL,56,65,117,97,123,137,14,0,15,165,36,13,30,10,2020-04-03 02:57:00
13,SN,172,178,221,321,412,328,25,2,18,80,43,4,32,2,2020-04-03 02:57:00
14,ST,106,166,93,198,174,138,15,0,12,50,18,5,10,2,2020-04-03 02:57:00
15,TH,126,124,132,234,191,285,12,1,11,180,28,3,24,3,2020-04-03 02:57:00
