,Unnamed: 0_level_0,ICU low care (frei),ICU low care (belegt),ICU low care in 24 h (Anzahl),ICU high care (frei),ICU high care (belegt),ICU high care in 24 h (Anzahl),ICU ECMO (frei),ICU ECMO (belegt),ICU ECMO care in 24 h (Anzahl),Anzahl ECMO-FÃ¤lle pro Jahr,COVID-19 aktuell in Behandlung,COVID-19 genesen,COVID-19 beatmet,COVID-19 verstorben,date
,Bundesland,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,
0,BB,117,143,146,200,220,314,7,1,7,65,29,4,23,0,2020-04-01 18:57:00
1,BE,78,186,115,210,460,227,20,5,21,216,84,13,71,8,2020-04-01 18:57:00
2,BW,258,364,302,530,960,553,53,15,38,609,408,83,351,66,2020-04-01 18:57:00
3,BY,467,474,470,732,1450,722,70,15,44,733,510,98,433,75,2020-04-01 18:57:00
4,HB,57,16,58,54,35,45,4,1,3,20,10,4,5,1,2020-04-01 18:57:00
5,HE,139,223,166,338,494,316,31,7,17,450,114,35,92,8,2020-04-01 18:57:00
6,HH,107,106,89,177,232,159,18,6,19,362,57,20,49,7,2020-04-01 18:57:00
7,MV,74,78,87,162,131,140,13,0,12,142,7,1,5,1,2020-04-01 18:57:00
8,NI,216,161,200,368,328,301,30,4,17,323,93,19,62,9,2020-04-01 18:57:00
9,NRW,558,648,642,1006,1642,948,75,23,69,1259,349,185,284,57,2020-04-01 18:57:00
10,RP,109,103,101,169,234,201,14,5,3,171,66,12,47,2,2020-04-01 18:57:00
11,SH,101,91,88,332,330,252,12,1,9,128,44,3,32,1,2020-04-01 18:57:00
12,SL,45,61,102,88,109,136,14,0,15,165,34,14,27,4,2020-04-01 18:57:00
13,SN,181,176,218,319,418,326,25,2,18,80,36,3,27,1,2020-04-01 18:57:00
14,ST,118,88,95,195,165,137,16,0,12,50,15,5,7,2,2020-04-01 18:57:00
15,TH,95,61,104,186,129,256,8,1,8,150,20,1,17,3,2020-04-01 18:57:00
