,Unnamed: 0_level_0,ICU low care (frei),ICU low care (belegt),ICU low care in 24 h (Anzahl),ICU high care (frei),ICU high care (belegt),ICU high care in 24 h (Anzahl),ICU ECMO (frei),ICU ECMO (belegt),ICU ECMO care in 24 h (Anzahl),Anzahl ECMO-FÃ¤lle pro Jahr,COVID-19 aktuell in Behandlung,COVID-19 genesen,COVID-19 beatmet,COVID-19 verstorben,date
,Bundesland,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,
0,BB,114,87,146,164,212,277,7,1,7,65,21,4,16,0,2020-03-31 02:57:00
1,BE,96,132,93,198,354,172,19,4,19,216,69,8,53,8,2020-03-31 02:57:00
2,BW,228,282,269,436,637,434,41,9,37,463,272,44,214,29,2020-03-31 02:57:00
3,BY,236,249,265,467,762,437,55,7,41,688,252,38,206,19,2020-03-31 02:57:00
4,HB,47,9,43,33,22,25,4,1,3,20,5,3,3,0,2020-03-31 02:57:00
5,HE,114,188,152,265,365,241,28,4,15,435,81,30,63,5,2020-03-31 02:57:00
6,HH,90,61,91,148,175,152,17,6,18,358,49,18,42,4,2020-03-31 02:57:00
7,MV,73,54,86,126,114,135,13,1,12,142,6,0,3,0,2020-03-31 02:57:00
8,NI,201,113,193,316,267,253,29,4,16,323,69,15,43,5,2020-03-31 02:57:00
9,NRW,485,567,522,972,1375,856,62,21,62,1163,261,126,220,26,2020-03-31 02:57:00
10,RP,85,95,66,156,216,163,15,3,8,171,54,10,28,1,2020-03-31 02:57:00
11,SH,81,102,83,222,234,224,10,1,6,88,25,3,21,0,2020-03-31 02:57:00
12,SL,31,32,76,76,65,116,13,0,14,165,19,6,14,4,2020-03-31 02:57:00
13,SN,152,140,178,282,359,270,26,1,18,80,19,0,15,0,2020-03-31 02:57:00
14,ST,65,58,69,162,149,143,17,0,13,50,11,5,6,0,2020-03-31 02:57:00
15,TH,79,50,84,145,114,189,8,1,8,40,5,0,4,2,2020-03-31 02:57:00
