,Unnamed: 0_level_0,ICU low care (frei),ICU low care (belegt),ICU low care in 24 h (Anzahl),ICU high care (frei),ICU high care (belegt),ICU high care in 24 h (Anzahl),ICU ECMO (frei),ICU ECMO (belegt),ICU ECMO care in 24 h (Anzahl),Anzahl ECMO-FÃ¤lle pro Jahr,COVID-19 aktuell in Behandlung,COVID-19 genesen,COVID-19 beatmet,COVID-19 verstorben,date
,Bundesland,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,
0,BB,101,134,134,210,251,206,9,0,5,67,46,9,32,4,2020-04-01 10:57:00
1,BE,185,162,204,237,287,320,26,4,14,289,65,21,49,8,2020-04-01 10:57:00
2,BW,216,320,278,514,803,463,39,11,16,814,182,32,158,22,2020-04-01 10:57:00
3,BY,466,423,490,886,1252,725,44,8,37,442,337,125,257,49,2020-04-01 10:57:00
4,HB,30,35,33,40,75,45,0,1,1,5,20,12,16,2,2020-04-01 10:57:00
5,HE,192,243,202,335,553,360,45,9,44,557,139,45,110,19,2020-04-01 10:57:00
6,HH,74,87,73,226,347,213,8,6,13,150,64,14,58,8,2020-04-01 10:57:00
7,MV,93,129,95,129,195,119,19,4,17,145,36,18,27,1,2020-04-01 10:57:00
8,NI,162,239,165,340,527,333,21,3,20,284,136,45,132,21,2020-04-01 10:57:00
9,NRW,540,578,674,1116,1508,1212,94,19,77,931,445,99,359,48,2020-04-01 10:57:00
10,RP,171,145,167,233,253,264,28,8,20,360,104,16,84,4,2020-04-01 10:57:00
11,SH,109,102,70,183,244,152,16,2,6,152,67,18,55,11,2020-04-01 10:57:00
12,SL,27,46,35,68,202,69,14,7,10,173,55,4,48,4,2020-04-01 10:57:00
13,SN,192,138,172,278,480,278,18,4,19,353,77,21,59,9,2020-04-01 10:57:00
14,ST,88,107,95,164,199,150,20,0,4,139,58,5,50,24,2020-04-01 10:57:00
15,TH,58,70,79,93,120,109,8,0,9,47,22,15,18,2,2020-04-01 10:57:00
